Date,Price,Ratio,Percentile
2018-11-01,89504.0,1.499942183583601,74.16666666666667
2018-12-01,87887.0,1.4625624728450535,68.33333333333333
2019-01-01,97394.0,1.6078192594165985,77.5
2019-02-01,95584.0,1.5655762351825795,75.83333333333333
2019-03-01,95415.0,1.5512708720706212,75.0
2019-04-01,96353.0,1.5561766729084967,75.83333333333333
2019-05-01,97030.0,1.5579200490887448,76.66666666666667
2019-06-01,100967.0,1.6104660274004285,80.0
2019-07-01,101812.0,1.6138521303943447,80.83333333333333
2019-08-01,101135.0,1.593721868862857,79.16666666666666
2019-09-01,104745.0,1.6412926638942251,83.33333333333334
2019-10-01,107220.0,1.6701138357607166,84.16666666666667
2019-11-01,108233.0,1.6769271390473584,85.0
2019-12-01,115645.0,1.7809457515715812,87.5
2020-01-01,113761.0,1.741126311792688,86.66666666666667
2020-02-01,104172.0,1.5867421155647625,79.16666666666666
2020-03-01,73020.0,1.11186286517102,35.833333333333336
2020-04-01,80506.0,1.2238358084391252,45.83333333333333
2020-05-01,87403.0,1.3245956131222405,60.0
2020-06-01,95056.0,1.4343961731729769,66.66666666666666
2020-07-01,102912.0,1.5460615145054062,78.33333333333333
2020-08-01,99369.0,1.4864656145719075,75.0
2020-09-01,94603.0,1.4107438306147055,65.83333333333333
2020-10-01,93952.0,1.3969946543850065,65.83333333333333
2020-11-01,108888.0,1.6108613707687423,89.16666666666667
2020-12-01,119306.0,1.754169588399832,95.83333333333334
2021-01-01,116007.0,1.6953955130021803,94.16666666666667
2021-02-01,110035.0,1.5998069211077173,87.5
2021-03-01,116634.0,1.6859358866194118,95.0
2021-04-01,118894.0,1.7077504638557583,97.5
2021-05-01,126216.0,1.7996524487510432,100.0
2021-06-01,126802.0,1.7942784221966286,99.16666666666667
2021-07-01,121801.0,1.710808143033436,95.83333333333334
2021-08-01,118781.0,1.6563140165334853,90.83333333333333
2021-09-01,110979.0,1.5370445903451178,77.5
2021-10-01,103501.0,1.4260420081279017,67.5
2021-11-01,101915.0,1.3969658046192006,65.0
2021-12-01,104822.0,1.4289666034392288,67.5
2022-01-01,112388.0,1.5235729974788548,76.66666666666667
2022-02-01,113142.0,1.525637134507491,77.5
2022-03-01,119999.0,1.6080722325265024,86.66666666666667
2022-04-01,107876.0,1.4382183456298288,69.16666666666667
2022-05-01,111351.0,1.4752280499696167,71.66666666666667
2022-06-01,98542.0,1.2991906811043161,53.333333333333336
2022-07-01,103165.0,1.3531434697366977,61.66666666666667
2022-08-01,109523.0,1.428346462340816,65.83333333333333
2022-09-01,110037.0,1.4271611140305236,65.0
2022-10-01,116037.0,1.4954488734064773,75.0
2022-11-01,112486.0,1.4411701964783665,67.5
2022-12-01,110031.0,1.4023683363920072,60.83333333333333
2023-01-01,113532.0,1.4387724583781811,66.66666666666666
2023-02-01,104932.0,1.3231476013441805,53.333333333333336
2023-03-01,101882.0,1.278571361341796,48.333333333333336
2023-04-01,104432.0,1.3039558688752206,50.83333333333333
2023-05-01,108335.0,1.345016031827142,55.00000000000001
2023-06-01,118087.0,1.4554547610534865,67.5
2023-07-01,121943.0,1.491687903932802,74.16666666666667
2023-08-01,115742.0,1.406409010388704,58.333333333333336
2023-09-01,116565.0,1.407257176505552,58.333333333333336
2023-10-01,113144.0,1.3579114538374135,54.166666666666664
2023-11-01,127331.0,1.5168236495406064,75.83333333333333
2023-12-01,134185.0,1.5854589365131126,82.5
2024-01-01,127752.0,1.4976364969765896,73.33333333333333
2024-02-01,129020.0,1.5004920909285182,74.16666666666667
2024-03-01,128106.0,1.4787282609134789,67.5
2024-04-01,125924.0,1.4432268941464752,61.66666666666667
2024-05-01,122098.0,1.3899698730573946,49.166666666666664
2024-06-01,123907.0,1.4011607076724575,50.83333333333333
2024-07-01,127652.0,1.4338054733295114,57.49999999999999
2024-08-01,136004.0,1.5170071296308605,75.0
2024-09-01,131816.0,1.4597508444274068,61.66666666666667
2024-10-01,129713.0,1.4265770028296807,52.5
2024-11-01,125668.0,1.37315451311854,44.166666666666664
2024-12-01,120283.0,1.3059564863936854,35.0
2025-01-01,126135.0,1.3597467109943986,43.333333333333336
2025-02-01,122799.0,1.3153690918594987,35.0
2025-03-01,130260.0,1.385504182873221,44.166666666666664
2025-04-01,135067.0,1.4266641175495096,52.5
2025-05-01,137027.0,1.4367103090651403,56.666666666666664
2025-06-01,138855.0,1.4450468773429024,60.0
2025-07-01,133071.0,1.3750504497400036,40.833333333333336
2025-08-01,141422.0,1.449510878993126,60.0
2025-09-01,146237.0,1.4860203859474501,68.33333333333333
2025-10-01,149540.0,1.5063602773782039,73.33333333333333
2025-11-01,159072.0,1.5871964239388558,83.33333333333334
2025-12-01,161125.0,1.5920898618830137,83.33333333333334
2026-01-01,181364.0,1.7715115365239622,97.5
2026-02-01,188787.0,1.822361275502628,100.0
2026-03-01,184493.203125,1.7618597279666501,95.83333333333334
